name,type,adjCount
@azure/amqp-common,library,15
@azure/event-hubs,library,9
@azure/ms-rest-azure-env,library,1
@azure/ms-rest-js,library,12
@azure/ms-rest-nodeauth,library,6
adal-node,library,10
are-we-there-yet,library,3
argparse,library,2
big-number,library,1
bl,library,2
body-parser,library,11
concat-stream,library,6
debug,library,28
depd,library,7
duplexer2,library,2
express-session,library,8
express,library,30
generic-pool,library,1
grunt,library,17
http-errors,library,8
iconv-lite,library,7
inherits,library,6
morgan,library,5
mssql,library,3
mysql2,library,8
mysql,library,4
native-duplexpair,library,1
needle,library,4
punycode,library,4
raw-body,library,5
readable-stream,library,12
safer-buffer,library,3
send,library,15
sprintf-js,library,3
static-module,library,15
stream-browserify,library,3
string_decoder,library,2
tedious,library,10
through2,library,5
tough-cookie,library,5
underscore.string,library,3
uri-js,library,2
url,library,3
util-deprecate,library,2
