source,target,weight
@azure/ms-rest-nodeauth,@azure/amqp-common,1
@azure/ms-rest-nodeauth,@azure/event-hubs,1
@azure/ms-rest-nodeauth,@azure/ms-rest-azure-env,1
@azure/ms-rest-nodeauth,@azure/ms-rest-js,1
@azure/ms-rest-nodeauth,adal-node,1
depd,express,1
depd,express-session,1
depd,http-errors,1
depd,morgan,1
depd,send,1
iconv-lite,body-parser,1
iconv-lite,grunt,1
iconv-lite,mysql2,1
iconv-lite,needle,1
iconv-lite,raw-body,1
iconv-lite,safer-buffer,1
mssql,debug,1
mssql,generic-pool,1
punycode,tough-cookie,1
punycode,uri-js,1
punycode,url,1
readable-stream,are-we-there-yet,1
readable-stream,concat-stream,1
readable-stream,duplexer2,1
readable-stream,inherits,1
readable-stream,mysql,1
readable-stream,static-module,1
readable-stream,stream-browserify,1
readable-stream,string_decoder,1
readable-stream,through2,1
readable-stream,util-deprecate,1
sprintf-js,argparse,1
sprintf-js,underscore.string,1
tedious,@azure/ms-rest-nodeauth,1
tedious,big-number,1
tedious,bl,1
tedious,depd,1
tedious,iconv-lite,1
tedious,mssql,1
tedious,native-duplexpair,1
tedious,punycode,1
tedious,readable-stream,1
tedious,sprintf-js,1
tedious,tedious,1
